id,author,title,year,publisher,description,category,type,from_dataset,have_it,filename,file_location,triage,triage_reason,google_scholar_url,google_search_url,wayback_url,worldcat_url
DIABLO-REF-29,"Beatty,",Designing,1991,Department of,Rates plants fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Beatty+Designing+1991,https://www.google.com/search?q=Beatty+Designing+1991+filetype%3Apdf,https://web.archive.org/web/*/Designing,https://search.worldcat.org/search?q=Beatty+Designing+1991
DIABLO-REF-30,"Harlass,",How to,1993,"Nursery Manager,",Defines a fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Harlass+How+to+1993,https://www.google.com/search?q=Harlass+How+to+1993+filetype%3Apdf,https://web.archive.org/web/*/How+to,https://search.worldcat.org/search?q=Harlass+How+to+1993
DIABLO-REF-31,Orinda Fire,Protect Your,Date,Orinda Fire,Offers a few fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Orinda+Fire+Protect+Your,https://www.google.com/search?q=Orinda+Fire+Protect+Your+filetype%3Apdf,https://web.archive.org/web/*/Protect+Your,https://search.worldcat.org/search?q=Orinda+Fire+Protect+Your
DIABLO-REF-32,California,"Fire Safe,",Date,California,Classifies fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=California+Fire+Safe%2C,https://www.google.com/search?q=California+Fire+Safe%2C+filetype%3Apdf,https://web.archive.org/web/*/Fire+Safe%2C,https://search.worldcat.org/search?q=California+Fire+Safe%2C
DIABLO-REF-33,City of Santa,City of Santa,Date,City of Santa,Defines fire resistant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=City+of+Santa+City+of+Santa,https://www.google.com/search?q=City+of+Santa+City+of+Santa+filetype%3Apdf,https://web.archive.org/web/*/City+of+Santa,https://search.worldcat.org/search?q=City+of+Santa+City+of+Santa
DIABLO-REF-34,"Bowker, Mike",High Danger,1995,"Motorland/CSAA,",Considers that fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Bowker+High+Danger+1995,https://www.google.com/search?q=Bowker+High+Danger+1995+filetype%3Apdf,https://web.archive.org/web/*/High+Danger,https://search.worldcat.org/search?q=Bowker+High+Danger+1995
DIABLO-REF-35,South County,Protecting Your,Date,South County Fire,Offers only a list of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=South+County+Protecting+Your,https://www.google.com/search?q=South+County+Protecting+Your+filetype%3Apdf,https://web.archive.org/web/*/Protecting+Your,https://search.worldcat.org/search?q=South+County+Protecting+Your
DIABLO-REF-36,Sunset,Protecting Your,1983,Lane Publishing,Lists succulents as,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Sunset+Protecting+Your+1983,https://www.google.com/search?q=Sunset+Protecting+Your+1983+filetype%3Apdf,https://web.archive.org/web/*/Protecting+Your,https://search.worldcat.org/search?q=Sunset+Protecting+Your+1983
DIABLO-REF-37,Department,Plants for,1979,"State of California,",Offers a list of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,UCDavis_California-Plant-Information-Systems.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Department+Plants+for+1979,https://www.google.com/search?q=Department+Plants+for+1979+filetype%3Apdf,https://web.archive.org/web/*/Plants+for,https://search.worldcat.org/search?q=Department+Plants+for+1979
DIABLO-REF-38,"LeMay, David",Recommended,1978,"San Luis Obispo,",Rates species of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=LeMay+Recommended+1978,https://www.google.com/search?q=LeMay+Recommended+1978+filetype%3Apdf,https://web.archive.org/web/*/Recommended,https://search.worldcat.org/search?q=LeMay+Recommended+1978
DIABLO-REF-39,Martin-,A Homeowner's,Date,"San Luis Obispo,",Lists fire retardant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Martin-+A+Homeowner%27s,https://www.google.com/search?q=Martin-+A+Homeowner%27s+filetype%3Apdf,https://web.archive.org/web/*/A+Homeowner%27s,https://search.worldcat.org/search?q=Martin-+A+Homeowner%27s
DIABLO-REF-40,"Moritz, Ray;",Pyrophytic vs.,1996,University of,Defines fire resistant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,Moritz-Svihra_Pyrophytic-vs-Fire-Resistant-Plants_1998.pdf,knowledge-base/,LIKELY_ONLINE,Academic/government publication — search Google Scholar or agency archives,https://scholar.google.com/scholar?q=Moritz+Pyrophytic+vs.+1996,https://www.google.com/search?q=Moritz+Pyrophytic+vs.+1996+filetype%3Apdf,https://web.archive.org/web/*/Pyrophytic+vs.,https://search.worldcat.org/search?q=Moritz+Pyrophytic+vs.+1996
DIABLO-REF-41,"Moritz, Ray",Pyrophytic vs.,1995,San Rafael Fire,Defines fire resistant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,Moritz-Svihra_Pyrophytic-vs-Fire-Resistant-Plants_1998.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Moritz+Pyrophytic+vs.+1995,https://www.google.com/search?q=Moritz+Pyrophytic+vs.+1995+filetype%3Apdf,https://web.archive.org/web/*/Pyrophytic+vs.,https://search.worldcat.org/search?q=Moritz+Pyrophytic+vs.+1995
DIABLO-REF-42,"Perry, Bob",Trees and,1989,Land Design,Fire retardance was,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Perry+Trees+and+1989,https://www.google.com/search?q=Perry+Trees+and+1989+filetype%3Apdf,https://web.archive.org/web/*/Trees+and,https://search.worldcat.org/search?q=Perry+Trees+and+1989
DIABLO-REF-43,"Ellefson,",Xeriscape,1992,Macmillian,Offers plant lists only,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Ellefson+Xeriscape+1992,https://www.google.com/search?q=Ellefson+Xeriscape+1992+filetype%3Apdf,https://web.archive.org/web/*/Xeriscape,https://search.worldcat.org/search?q=Ellefson+Xeriscape+1992
DIABLO-REF-44,"Brenzel,",Sunset Western,1995,"Menlo Park, CA:",This reference was,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Brenzel+Sunset+Western+1995,https://www.google.com/search?q=Brenzel+Sunset+Western+1995+filetype%3Apdf,https://web.archive.org/web/*/Sunset+Western,https://search.worldcat.org/search?q=Brenzel+Sunset+Western+1995
DIABLO-REF-45,U.S. Dept. of,Plant Materials,1976,U.S Dept. of,Offers information on,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=U.S.+Dept.+of+Plant+Materials+1976,https://www.google.com/search?q=U.S.+Dept.+of+Plant+Materials+1976+filetype%3Apdf,https://web.archive.org/web/*/Plant+Materials,https://search.worldcat.org/search?q=U.S.+Dept.+of+Plant+Materials+1976
