Name,Business Type,Company Type,Ships To,Mailing Address,City,State,Zip,Phone,Fax,Email,Website,Description,Supply Categories,Slug
Advanced Ornamentals Inc.,"Nursery, Grower",Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,503-633-2833,503-633-4058,sales@advancedornamentals.com,http://www.advancedornamentals.com/,"Wholesale grower of broadleaf evergreens, conifers, and grafted maples.",,advanced-ornamentals-inc
Advanced Vineyard Systems Inc.,Grower,,,"Advanced Vineyard Systems Inc., PO Box 1184, McMinnville, OR 97128-1184",McMinnville,OR,97128-1184,503-434-9766,503-434-2809,info@advancedvineyards.com,http://www.advancedvineyards.com/,"Vineyard design, development, management and consultation. Custom-grafted grapevine propagation.",,advanced-vineyard-systems-inc
AeroTract,Allied Service or Supplier,,,"AeroTract, 409 Ermine St. SE, Albany, OR 97321",Albany,OR,97321,503-616-1274,,jamesh@aerotractone.com,https://www.aerotractone.com/,,,aerotract
AgWest Farm Credit,Allied Service or Supplier,,,"AgWest Farm Credit, 380 Farm Credit Dr., Salem, OR 97301",Salem,OR,97301,503-373-3000,503-373-3005,jacy.vasquez@northwestfcs.com,https://www.agwestfc.com/,"Financing for nurseries: leases, operating, equipment and real estate loans.",Banking (Financial Services); Crop Insurance,agwest-farm-credit
Agricultural Soil Products,,,,"Agricultural Soil Products, 9705 Valpredo Avenue, Mettler, CA 93313",Mettler,CA,93313,616-858-1156,,jsansom@rjssupplies.com,https://agriculturalsoilproducts.com,"Welcome to
Agricultural Soil Products—your trusted partner in premium soil
amendments and growing media. We specialize in crafting custom substrates
tailored to your specific needs, ensuring consistent, high-quality blends for
horticultural and commercial applications. Whether you're looking for
specialized formulations or fundamental soil enhancements, our mission is to be
the preferred supplier for professional growers, landscapers, and
gardeners—restoring soil health and enhancing the vitality of commercial
landscapes.","Chips and Sawdust Bark Products; Coconut Coir Pith, Bulk Importer; Coir; Compost Products; Custom Soil Mixing; Soil Analysis Consulting",agricultural-soil-products
Ainslie's Nursery,Grower,,Pacific Northwest,"Ainslie's Nursery, PO Box 7217, Aloha, OR 97007-7217",Aloha,OR,97007-7217,503-642-2582,,2@example.com,,,,ainslies-nursery
Aivaka,"Supplier, Allied Service or Supplier","Production Services & Supplies, Sales","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest",,,,,866-248-2521,,ahmad@aivaka.com,https://www.aivaka.com,"We provide wireless devices to connect valves, pumps, flow sensors, moisture sensors and controllers in a traditional irrigation system with no subscription fee, ever.   Our devices are designed and made in USA and operate on 900MHz (free) ISM band.- Any wiring issues related to irrigation can be completely eliminated- Ad or move a valve without running any wires- Irrigate based on real time moisture level- Combine multiple controllers in one location without running any wires",,aivaka
Al's Garden & Home,Garden Center,Garden Center,,,,,,503-726-1162,503-982-4608,gardening@als-gardencenter.com,http://www.als-gardencenter.com/,"Al's Garden & Home is a family owned, 3rd generation business with four retail locations in Sherwood, Woodburn, Gresham and Wilsonville, serving the greater Portland and Salem areas since 1948.  Al's carries a wide selection of annuals, perennials, trees, shrubs, vines, pottery, home decor, apparel, gourmet food, garden supplies and more, and grows over 75% of the plants we sell in our three local growing operations.Sherwood 503.726.1162Woodburn 503.981.1245Gresham 503.491.0771Wilsonville 503.855.3527",,als-garden-home
All Green Goods LLC,Grower,Plants,"Rocky Mountain, Pacific Northwest, Canada","All Green Goods LLC, 20227 S Canterwood Ct., Oregon City, OR 97045",Oregon City,OR,97045,503-928-9141,503-212-6223,allgreengoods@gmail.com,,"Independent sales representative for Brentano's Tree Farm, Eshraghi Nursery, GardenScape Nursery, Hupp Farms, Rare Tree Nursery and Western Evergreen.",,all-green-goods-llc
Alpha Nursery Inc.,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Alpha Nursery Inc., 5050 Hazelgreen Rd. NE, Salem, OR 97305-3519",Salem,OR,97305-3519,503-390-1286,503-390-2639,info@alphanursery.com,http://www.alphanursery.com/,"Your source for a complete line of quality, container-grown nursery stock. We feature broadleaf, conifers, grasses, roses, flowering and shade trees and unique specimens. Year-round shipping.",,alpha-nursery-inc
Althouse Nursery,"Nursery, Grower",Plants,"Southwest, Pacific Northwest","Althouse Nursery, 4195 Holland Loop Road, Cave Junction, OR 97523",Cave Junction,OR,97523,541-415-0849,,plants@althousenursery.com,http://www.althousenursery.com/,"Wholesale plug grower of native trees and shrubs of the Pacific Northwest, specializing in Mahonia as well as conifers for reforestation.",,althouse-nursery
Amethyst Hill Nursery & Hydrangeas Plus(R),Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Amethyst Hill Nursery & Hydrangeas Plus(R), 6543 S Zimmerman Rd., Aurora, OR 97002-9302",Aurora,OR,97002-9302,503-651-2848,503-651-2648,kristin@amethyst-hill.com,http://www.amethyst-hill.com/,Container nursery specializing in hydrangea families and other ornamental shrubs.,,amethyst-hill-nursery-hydrangeas-pl
Ampac Seed Company,Grower,Plants,,"Ampac Seed Company, PO Box 318, Tangent, OR 97389",Tangent,OR,97389,541-928-1651,541-928-2430,sherry@ampacseed.com,https://www.ampacseed.com/,,,ampac-seed-company
Anderson Pots,"Supplier, Allied Service or Supplier",Production Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Anderson Pots, 2425 SE Moores St., Portland, OR 97222-6397",Portland,OR,97222-6397,503-654-5629,503-654-5655,info@andersonpots.com,http://www.andersonpots.com/,"Oregon's local injection molded nursery pot manufacturer offers greenhouse pots, bandpots, deep tree bands and bedding plant bands, flats, saucers, and a wide selection of field pots, all made in Portland. Anderson's quality and superb service from its large local inventory are legendary. 

Your quality plants deserve an ANDERSON POT!","Containers (also see Pots); DEEP TREE BANDS; Greenhouse Containers; Nursery Containers; Plastic Containers; Plastic Flats and Trays - Containers; POTS (also see CONTAINERS); SAUCERS, Plastic",anderson-pots
Andy's Nursery,"Nursery, Supplier",Plants,Pacific Northwest,"Andy's Nursery, 6494 Fruitland Rd. NE, Salem, OR 97317",Salem,OR,97317,971-218-9175,503-391-2678,andres@andysnurseries.com,https://www.andysnursery.com/,"Andy's Nursery specializes in ground covers, natives and wetland plants. Contract growing upon request and delivery to nursery or job site.",,andys-nursery
Angelwood Nursery,"Grower, Greenhouse",,Pacific Northwest,"Angelwood Nursery, 12839 McKee School Rd. NE, Woodburn, OR 97071-9004",Woodburn,OR,97071-9004,503-634-2233,,4@example.com,,Wholesale grower of indoor and spring plants.,,angelwood-nursery
Arrowhead Ornamentals LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Arrowhead Ornamentals LLC, PO Box 157, Hubbard, OR 97032",Hubbard,OR,97032,503-651-2040,503-651-2042,gail@arrowheadornamentals.com,http://www.arrowheadornamentals.com/,"Premium
  wholesale grower of specimen trees and shrubs. Shade, flowering, ornamental
  and conifer trees, bareroot liners, B&B and container available. We are
  located in the fertile Willamette Valley in the Pacific Northwest and pride
  ourselves on being ""Dedicated to providing quality trees, shrubs and
  outstanding customer service.""",,arrowhead-ornamentals-llc
Ashland Greenhouses,"Nursery, Grower, Garden Center","Plants, Garden Center",Pacific Northwest,,,,,541-482-2866,541-482-2699,grow@ashlandgreenhouses.com,http://www.ashlandgreenhouses.com/,"""Locally Grown, Region Specific Plants, Since 1906""At Ashland Greenhouses we grow 100% of the plants we sell. Growing annuals, vegetables, herbaceous perennials, herbs, color bowls, hanging baskets, poinsettias, and ornamental grasses that will do well in our climate.We serve individual gardeners, landscapers, and businesses. We sell wholesale to independent garden centers, nurseries, and flower shops.We have a Retail Store located at 650 E Ashland Lane in the beautiful city of Ashland, Oregon. This is a place to purchase region specific additions to thrive in your garden .The Greenhouses are a beautiful place to visit and explore different types of plants. We do events at the nursery such as classes and tours throughout the season.Please Contact the store at 541-482-2866 or e-mail grow@ashlandgreenhouses.comWholesale & Landscape AccountsLandscapersLicensed Landscapers receive 15% off at our retail location. Just bring in, mail, e-mail, or fax(541.482.2699) an application for theLandscaper Discount. Don't forget to ask about even greater discounts available to landscapers that place spring or fall pre-orders for plants.WholesaleWe also sell wholesale to garden centers, nurseries, and flower shops located in Southern Oregon, Northern California, and as far east as Klamath Falls. Delivery charges depend on distance, local deliveries are free of charge. Interested in buying wholesale? Just bring in, mail, e-mail, or fax(541.482.2699) an application for theReseller Discount.Questions?Have questions regarding our pre-order program or wholesales? Call our wholesale manager Megan Suess @ 541.601.9340. Or emailService@ashlandgreenhouses.com.For plants we currently have, please download our most recentAvailability List.",GARDEN CENTER,ashland-greenhouses
Aspen Creek Landscaping,"Grower, Landscape Contractor",,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","Aspen Creek Landscaping, PO Box 418, Newberg, OR 97132",Newberg,OR,97132,503-625-6888,503-625-3258,office@aspencreeklandscaping.com,http://www.aspencreeklandscaping.com/,,,aspen-creek-landscaping
Aster Software,Allied Service or Supplier,Business Services & Supplies,,"Aster Software, PO Box 273, Rosedale, BC,",,,,877-827-0493,,sales@aster.software,https://www.aster.software,"Built for Growers, by Growers: iQ Grower ERP is horticulture ERP software on the Salesforce platform. We are Turning Chaos into clarity, Together! Contact us to arrange for a demo.",,aster-software
Athletic Field Design,"Landscape Contractor, Landscape Designer",Landscape Professionals,,,,,,503-698-6383,503-698-7289,hebrard@athleticfield.com,http://www.athleticfield.com,"Laying out and making athletic fields, painting logos for athletic and special events, laser grading of baseball and softball infields.",,athletic-field-design
Aurora Nursery,"Nursery, Grower",Plants,Pacific Northwest,"Aurora Nursery, 22821 Boones Ferry Rd. NE, Aurora, OR 97002-9458",Aurora,OR,97002-9458,503-678-7900,503-678-7901,sales@auroranursery.com,http://www.auroranursery.com/,"Grower of quality Pacific Northwest native trees, shrubs, and wetland plants: plugs, containers, and field grown.",Contract Growing,aurora-nursery
Aurora Peat Products ULC,Allied Service or Supplier,,"Rocky Mountain, Southwest, Pacific Northwest, Canada","Aurora Peat Products ULC, 13704 170th St. NW, Edmonton, AB T5V 1T2",,,,780-447-1802,780-447-1810,van.kincaid@aurorapeat.com,http://www.aurorapeat.com,Peat moss manufacturing.,,aurora-peat-products-ulc
B-West Hills Nursery,Grower,,Pacific Northwest,"B-West Hills Nursery, 32979 S Orchard Ln., Woodburn, OR 97071",Woodburn,OR,97071,971-221-4097,,bwhnursery@gmail.com,,"Japanese maples, spruces, pines, cedars, firs, grafted field-grown ornamentals.",,b-west-hills-nursery
B.C. Nursery,Grower,,"Northeast, Southwest, Pacific Northwest","B.C. Nursery, 5419 Le Brun Rd. NE, Woodburn, OR 97071-9426",Woodburn,OR,97071-9426,503-576-0531,503-792-3640,jacobpletcher@yahoo.com,,,,bc-nursery
BASF Turf & Ornamentals,Allied Service or Supplier,,,,,,,,,caren.schmidt@basf.com,http://betterplants.basf.us/,"Basic manufacturer of ornamental herbicides, fungicides and insecticides. Greenhouse and nursery growers are innovators, always looking to improve operational efficiency, learn about the latest chemistries, and implement advancements. BASF is at your side, listening to your challenges and working with you to deliver information and solutions as innovative as you are. Together, we will continue to find common ground and collaborate. Together, we will grow.","Beneficial Nematodes; Chemicals (Insecticides, Herbicides, Fungicides)",basf-turf-ornamentals
BW Global Structures Inc.,"Supplier, Greenhouse, Educator or Researcher",Production Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe",,,,,604-856-1303,604-856-1109,solutions@bw-global.com,http://www.bw-global.com,"BW-GLOBAL.BW Greenhouse.  Designer and Manufacturer of Innovative, Quality Greenhouses & Shelters.CALL us today: 1.877.856.1303.For over 45 years, BW GLOBAL is a leading Canadian and North American designer, manufacturer, supplier, and builder of the highest quality, innovative standard and custom greenhouses, parts and systems, and shelters.BW uses the strongest American steel, highest light diffusion coverings, and offers an outstanding 10-year warranty on its structure!Committed to quality, we design and manufacture in North America with ISO 9001 2015 certification.We design and supply the highest quality greenhouses for every type of grower and budget, and provide a total growing solution.Clients include nurseries, large commercial growers, agricultural entrepreneurs of every size and description, retailers, garden centers, schools, universities, research/academic institutions, municipalities, communities focused on food security, and backyard growers (who especially love our permit-free Pocket Greenhouse).BW Greenhouse® division offers both standard and custom FREESTANDING and GUTTER-Connected Greenhouses of all sizes for Nursery, Commercial, and Retail clients.  Our BWFREEFLOW is custom-designed to provide extra height for vertical growing, trees, and vine crops.BW GLOBAL®, through its GUARDIAN Shelters® line of products, also offers one of the strongest wide-span, steel-framed, membrane or fabric structures on the market for the agricultural, commercial, and industrial sectors and those with equipment, materials, aircraft, autos, boats, or RVs to protect.BW GLOBAL is an industry leader in controlled environment agriculture and offers the best turnkey solutions with new technology, refined designs, and improved thinking. We have projects and ship all over the world, and we would love to help you on your next project!",Cooling Systems for Greenhouses; Coverings; Coverings (Greenhouses); Equipment (Greenhouse Systems and Supplies); FANS (Greenhouse Ventilation Equipment); Greenhouse Benches; Greenhouse Dehumidification; GREENHOUSE DESIGN; Greenhouse Erection; Greenhouse Light Deprivation; Greenhouse Manufacturing; Greenhouse Repair; Greenhouse Supplies; GREENHOUSE SYSTEMS and SUPPLIES; Greenhouse Systems Consulting; Greenhouse Ventilation; Greenhouses; Growing Systems; Heating Systems for Greenhouses; HOBBY GREENHOUSES; Lighting; LIGHTING; NURSERY and GREENHOUSE MECHANIZATION; Parts; Poly and Fabric Fasteners for Greenhouses; Polycarbonate Coverings; SHADE CLOTH,bw-global-structures-inc
Backyard Natives LLC,"Nursery, Grower, Re-Wholesaler/Broker","Plants, Sales",Pacific Northwest,"Backyard Natives LLC, 36677 SE Tracy Rd., Estacada, OR 97023",Estacada,OR,97023,503-505-4866,,backyardnatives.sales@gmail.com,,"At Backyard Natives LLC, We grow mostly native plants with a few ornamentals as well. All of our plants are grown in container's. We can deliver, or an order can be arranged to be picked up at our nursery location.",,backyard-natives-llc
Bahco Pruning,Supplier,Sales,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Bahco Pruning, 6818 NE 62nd Court, Vancouver, WA 98661",Vancouver,WA,98661,503-545-6074,,terry.a.croy@snapon.com,http://bahco.com,,,bahco-pruning
Bailey Nurseries Inc.,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Bailey Nurseries Inc., 1325 Bailey Rd., St. Paul, MN 55119",St. Paul,MN,55119,800-829-8898,800-829-8894,ryan.mcenaney@baileynurseries.com,http://www.baileynurseries.com/,"Bailey is a fifth-generation, family-owned horticultural company serving customers worldwide. Headquartered in St. Paul, Minnesota, along with operations in Oregon, Washington, Illinois, and Georgia, they are known for producing and distributing top-quality horticultural products, marketing support services, and sought-after genetic breeding work. Bailey Consumer Brands – Endless Summer® Hydrangeas, First Editions® Shrubs & Trees, and Easy Elegance® Roses – are widely recognized as premier products in the industry.",,bailey-nurseries-inc
Ball Seed Company,Supplier,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,630-231-3600,,jkedrowski@ballhort.com,http://www.ballseed.com,"Ball Seed is North America’s leading wholesale
horticultural distributor and your complete business partner with a wide
variety of plants, products & services to make your business a
success. Our sales team works with you to customize solutions you need for
your greenhouse business. Check live availability and order online through
Ball Seed WebTrack.Website:https://www.ballseed.com/Facebook:https://www.facebook.com/ballseed/LinkedIn:https://www.linkedin.com/company/ball-seed-co/Twitter:https://twitter.com/ballhort",,ball-seed-company_0
Ballard Nursery,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Ballard Nursery, 6901 SW Old Highway 47, Gaston, OR 97119-9064",Gaston,OR,97119-9064,503-357-5993,503-357-5993,ballardnsy@comcast.net,,A wholesale woody ornamental nursery specializing in propagation of conifers and Acer palmatum varieties from grafts. Propagating many dwarf conifers and other species by cuttings. Some container growing.,,ballard-nursery
Bambi's Nursery,Grower,"Plants, Sales","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Bambi's Nursery, 15008 Winters Hill Rd. SE, Silverton, OR 97381",Silverton,OR,97381,503-873-6774,503-873-4916,info@bambischristmastreeland.com,http://www.bambisnursery.com/,"Grower of Abies nordmanniana, A. procera, Picea pungens, P.p. glauca, P. omorika, Pinus contorta, P. leucodermis, P. mugo pumilio and P. nigra. Trees available B&B, potted and summer dug.",,bambis-nursery
Bamboo Garden,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Bamboo Garden, 18900 NW Collins Rd., North Plains, OR 97133",North Plains,OR,97133,503-647-2700,,bamboo@bamboogarden.com,http://www.bamboogarden.com/,"Bamboo Garden specializes in both rare and common bamboos at reasonable prices, serving retail, wholesale and mail order markets. We have been growing since 1980. Now, with more than 300 bamboo varieties at our 20-acre farm near North Plains, we maintain perhaps the most diverse collection in the United States.",Bamboo Barrier,bamboo-garden
Bamboogro Inc.,Allied Service or Supplier,,,"Bamboogro Inc., 7019 S 234th Street, Kent, WA 98032",Kent,WA,98032,302-650-2629,,sales@bamboogro.com,http://www.bamboogro.com,,,bamboogro-inc
Barefoot Farm and Flowers,Grower,Plants,,"Barefoot Farm and Flowers, 77568 Erickson Dike Rd., Clatskanie, OR 97016",Clatskanie,OR,97016,503-740-8229,,angelo.n.depersis@gmail.com,,,,barefoot-farm-and-flowers
Barn Owl Nursery,Nursery,Plants,,"Barn Owl Nursery, 22999 SW Newland Rd, Wilsonville, OR 97070",Wilsonville,OR,97070,503-638-0387,,barnowlnurserychris@gmail.com,http://barnowlnursery.com,,GARDEN CENTER,barn-owl-nursery
Barnel International Inc.,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Barnel International Inc., 15220 NW Laidlaw Rd., Ste. 200, Portland, OR 97229-7718",Portland,OR,97229-7718,503-291-1400,503-291-1600,info@barnel.com,http://www.barnel.com/,Manufacturer of professional hand tools for landscaping and lawn and garden.,Bonsai Tools; Budding and Grafting Knives; GARDEN and GIFT ACCESSORIES; GARDEN CENTER DISPLAYS; GRAFTING TOOLS; HAND HOES; Hand Pruners (Tools); LANDSCAPE CONTRACTOR SUPPLIES; PRUNING EQUIPMENT/MACHINES; Tools; Vegetable Harvest Knives; VINEYARD TOOLS and SUPPLIES,barnel-international-inc
Bartlett Tree Experts,"Allied Service or Supplier, Arborist/Tree Service",Commercial Arbor & Landscape Services,,"Bartlett Tree Experts, 11814 SE Jennifer St., Clackamas, OR 97015-9012",Clackamas,OR,97015-9012,503-722-7267,503-723-5531,kcarr@bartlett.com,http://www.bartlett.com,"We offer tree, shrub and lawn care, including pruning, tree removal, plant health care, organic/natural pest control services, compost tea, and organic/natural fertilization. We have a certified arborist on staff and can serve as your consulting arborist.",,bartlett-tree-experts
Baseline Landscapes,Landscape Contractor,Landscape Professionals,,"Baseline Landscapes, 13145 NW Glenridge Dr., Portland, OR 97229",Portland,OR,97229,503-998-1155,,Rick@baselinelandscapes.com,,,Landscape Contractor,baseline-landscapes
Bauman's Farm and Garden,Grower,,Pacific Northwest,"Bauman's Farm and Garden, 12989 Howell Prairie Rd. NE, Gervais, OR 97026-7707",Gervais,OR,97026-7707,503-792-3524,,baumans@baumanfarms.com,http://www.baumanfarms.com/,,,baumans-farm-and-garden
Beaver Pumice LLC,,,,"Beaver Pumice LLC, 2040 MILLIGAN WAY STE 300, Medford, OR 97504",Medford,OR,97504,541-891-1819,,lucas@beaverpumice.com,http://www.beaverpumice.com,"Beaver Pumice, a family owned operation. Located in the heart of Oregon, Beaver Pumice produces 100% organic airfall pumice. Beaver Pumice products are a direct result of the Mount Mazama eruption taking place over 7,000 years ago. The airfall pumice from this eruption covered over 1 million miles, including the untouched land where Beaver Pumice operates, just miles away from what today is Crater Lake.Beaver Pumice takes great pride in consistently producing the highest quality gradation throughout every product. The onsite testing lab allows products to be customized while always maintaining optimal quality. With over 80 years of combined experience in the material processing field, Beaver Pumice operators have the expertise to make products of the highest grade.",Pumice (Soil Amendments); Pumice Producer (Rock Products); Rock Minerals; ROCK PRODUCTS; SOIL AMENDMENTS; Volcanic Ash (Soil Amendments),beaver-pumice-llc
Beaverlake Nursery,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Beaverlake Nursery, PO Box 927, Beavercreek, OR 97004-0927",Beavercreek,OR,97004-0927,503-632-4787,503-632-5412,info@beaverlakenursery.com,http://www.beaverlakenursery.com/,"A wholesale liner and container nursery specializing in ground covers, natives and wetland plants. Grower of quality plugs. Contract growing on request and delivery to your nursery or job site.","Contract Growing; PROPAGATION; RECYCLING, Pallets; RECYCLING, Plastics",beaverlake-nursery
Beneficial Insectary,"Supplier, Allied Service or Supplier",Production Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest",,,,,530-226-6300,530-226-6310,info@insectary.com,http://www.insectary.com,"Based in Redding CA, Beneficial Insectary has been offering domestically-produced Biological Control Agents (BCAs) for growers of all types of crops for over 35 years.With many organisms available for next-day shipping, Beneficial Insectary proudly offers unbeatable quality and freshness of live organisms delivered to growers within 48-hours of ordering. Check us out at insectary.com!",Beneficial Insects,beneficial-insectary
Bentwood Tree Farm,Grower,,Pacific Northwest,"Bentwood Tree Farm, 30529 SE Wheeler Rd., Boring, OR 97009",Boring,OR,97009,503-663-3219,,tom@bentwoodtreefarm.com,http://www.bentwoodtreefarm.com/,Cloud pruned Japanese Pines and Asian conifers for gardening and bonsai.,,bentwood-tree-farm
Bernert Nursery,Grower,Plants,,"Bernert Nursery, 4131 Imperial Dr., West Linn, OR 97068",West Linn,OR,97068,503-432-7905,,davebe1985@outlook.com,http://www.bernertnursery.com/,,,bernert-nursery
Bethany Rydmark :: Landscapes,Landscape Architect,Landscape Professionals,,"Bethany Rydmark :: Landscapes, 11724 NE Knott Street, Portland, OR 97220",Portland,OR,97220,503-931-8056,,bethany@brlandscapes.com,http://www.bethanyrydmark.com,,,bethany-rydmark-landscapes
