locality,scientific_name,common_name,family,order,degree_of_establishment,establishment_means,pathway,habitat,is_hybrid,intro_date,gbif_key
AK,Alisma plantago-aquatica,European water plantain,Alismataceae,Alismatales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2865100
AK,Alliaria petiolata,Garlic mustard,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,5376075
AK,Allium fistulosum,Welsh onion,Amaryllidaceae,Asparagales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2856504
AK,Allium vineale,Crow garlic,Amaryllidaceae,Asparagales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,7792960
AK,Alopecurus arundinaceus,Creeping meadow foxtail,Poaceae,Poales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5290087
AK,Alopecurus geniculatus,Water foxtail,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",unintentional,Wetlands (inland); Artificial - Terrestrial,FALSE,2017-11-21,5290090
AK,Alopecurus pratensis,Meadow foxtail,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5290081
AK,Alyssum alyssoides,Pale madwort,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3044855
AK,Amaranthus albus,Prostrate pigweed,Amaranthaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,7905507
AK,Amaranthus blitoides,Mat amaranth,Amaranthaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5384395
AK,Amaranthus retroflexus,Redroot amaranth,Amaranthaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,6109534
AK,Amsinckia lycopsoides,Tarweed fiddleneck,Boraginaceae,Boraginales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2925874
AK,Amsinckia menziesii,Menzies' fiddleneck,Boraginaceae,Boraginales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2925870
AK,Anthemis cotula,Stinking chamomile,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,8035698
AK,Anthoxanthum odoratum,Sweet vernalgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2705975
AK,Arctium minus,Lesser burdock,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5393103
AK,Armoracia rusticana,Horseradish,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3041022
AK,Arrhenatherum elatius,Tall oatgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2704505
AK,Artemisia biennis,Biennial wormwood,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3121226
AK,Artemisia vulgaris,Common wormwood,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3120946
AK,Asperugo procumbens,German-madwort,Boraginaceae,Boraginales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2926055
AK,Asterocytis ramosa,Small red algae,Stylonemataceae,Stylonematales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2020-12-01,
AK,Astragalus cicer,Chickpea milkvetch,Fabaceae,Fabales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5343253
AK,Atriplex hortensis,Garden orache,Amaranthaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3083761
AK,Atriplex patula,Spear saltbush,Amaranthaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3083728
AK,Aurinia saxatilis,Golden-tuft alyssum,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5377778
AK,Avena fatua,Wild oat,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",agriculture (including biofuel feedstocks),,FALSE,2017-11-21,2705297
AK,Avena sativa,Common oat,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",agriculture (including biofuel feedstocks),,FALSE,2017-11-21,2705290
AK,Bellis perennis,Lawndaisy,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3117424
AK,Berteroa incana,Hoary alyssum,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3053522
AK,Betula pendula,European white birch,Betulaceae,Fagales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5331916
AK,Bidens cernua,Nodding beggartick,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5391710
AK,Bidens frondosa,Devil's beggartick,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5392174
AK,Borago officinalis,Common borage,Boraginaceae,Boraginales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2926110
AK,Brassica juncea,Brown mustard,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3042751
AK,Brassica napus,Rape,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3042636
AK,Brassica rapa,Field mustard,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,7903057
AK,Bromus briziformis,Rattlesnake brome,Poaceae,Poales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2703682
AK,Bromus commutatus,Meadow brome,Poaceae,Poales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-06-06,2703778
AK,Bromus hordeaceus,Soft brome,Poaceae,Poales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",agriculture (including biofuel feedstocks),,FALSE,2017-11-21,2703777
AK,Bromus inermis,Smooth brome,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2020-09-10,2703670
AK,Bromus racemosus,Bald brome,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",agriculture (including biofuel feedstocks),,FALSE,2017-11-21,2703764
AK,Bromus secalinus,Rye brome,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",agriculture (including biofuel feedstocks),,FALSE,2017-11-21,2703717
AK,Bromus tectorum,Cheatgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",seed contaminant,,FALSE,2017-11-21,2703746
AK,Calendula officinalis,Pot marigold,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,5391480
AK,Calystegia sepium,Hedge false bindweed,Convolvulaceae,Solanales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2928441
AK,Camelina sativa,Gold-of-pleasure,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9073641
AK,Campanula glomerata,Dane's blood,Campanulaceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5409933
AK,Campanula medium,Canterbury bells,Campanulaceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,5411453
AK,Campanula rapunculoides,Rampion bellflower,Campanulaceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5410436
AK,Capsella bursa-pastoris,Shepherd's purse,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5375388
AK,Caragana arborescens,Siberian peashrub,Fabaceae,Fabales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2943190
AK,Cardamine hirsuta,Hairy bittercress,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2020-02-21,3046258
AK,Carex stipata,Owlfruit sedge,Cyperaceae,Poales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,2725605
AK,Castilleja tenuis,Hairy Indian paintbrush,Orobanchaceae,Lamiales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2019-04-30,3170601
AK,Caulacanthus ustulatus,Red algae,Caulacanthaceae,Gigartinales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2020-12-01,2666536
AK,Centaurea cyanus,Garden cornflower,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,3089561
AK,Centaurea montana,Perennial cornflower,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9023462
AK,Centaurea scabiosa,Greater knapweed,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,8087525
AK,Centaurea stoebe,Spotted knapweed,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3127727
AK,Centaurea stoebe ssp. micranthos,Spotted knapweed,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2016-09-15,
AK,Ceramium sinicola,Red algae,Ceramiaceae,Ceramiales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-04-12,5276905
AK,Cerastium fontanum,Common mouse-ear chickweed,Caryophyllaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3085458
AK,Cerastium fontanum ssp. vulgare,Big chickweed,Caryophyllaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9349855
AK,Cerastium glomeratum,Sticky chickweed,Caryophyllaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3085440
AK,Cerastium tomentosum,Snow in summer,Caryophyllaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3085438
AK,Chaenorhinum minus,Dwarf snapdragon,Plantaginaceae,Lamiales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,3171669
AK,Chenopodium album,Lambsquarters,Amaranthaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3083838
AK,Chenopodium leptophyllum,Narrowleaf goosefoot,Amaranthaceae,Caryophyllales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,6447860
AK,Chenopodium simplex,Mapleleaf goosefoot,Amaranthaceae,Caryophyllales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,
AK,Cirsium arvense,Creeping thistle,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",seed contaminant,,FALSE,2017-11-21,3113414
AK,Cirsium vulgare,Bull thistle,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",seed contaminant,,FALSE,2017-11-21,3112801
AK,Clematis tangutica,Golden virginsbower,Ranunculaceae,Ranunculales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3033535
AK,Collomia linearis,Tiny trumpet,Polemoniaceae,Ericales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2927552
AK,Conium maculatum,Poison hemlock,Apiaceae,Apiales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,Artificial - Terrestrial; Introduced Vegetation; Wetlands (inland),FALSE,2017-09-07,3034807
AK,Conringia orientalis,Hare's ear mustard,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3040913
AK,Consolida ajacis,Rocket larkspur,Ranunculaceae,Ranunculales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2020-02-21,
AK,Convolvulus arvensis,Field bindweed,Convolvulaceae,Solanales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,2928390
AK,Conyza canadensis,Canadian horseweed,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,
AK,Cota tinctoria,Golden chamomile,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,5390618
AK,Cotoneaster simonsii,Simons' cotoneaster,Rosaceae,Rosales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3026107
AK,Cotula coronopifolia,Common brassbuttons,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3112110
AK,Crataegus monogyna,Oneseed hawthorn,Rosaceae,Rosales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9220780
AK,Crepis capillaris,Smooth hawksbeard,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5403304
AK,Crepis tectorum,Narrowleaf hawksbeard,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5403508
AK,Cryptantha shackletteana,Shacklette's cryptantha,Boraginaceae,Boraginales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2019-11-08,
AK,Cryptantha torreyana,Torrey's cryptantha,Boraginaceae,Boraginales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2926241
AK,Cytisus scoparius,Scotch broom,Fabaceae,Fabales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5354656
AK,Dactylis glomerata,Orchardgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2705308
AK,Daphne mezereum,Paradise plant,Thymelaeaceae,Malvales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5420852
AK,Daucus carota,Queen Anne's lace,Apiaceae,Apiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,3034742
AK,Delphinium elatum,Candle larkspur,Ranunculaceae,Ranunculales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3033757
AK,Deschampsia danthonioides,Annual hairgrass,Poaceae,Poales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2703174
AK,Deschampsia elongata,Slender hairgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2703190
AK,Descurainia sophia,Herb Sophia,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3044318
AK,Dianthus barbatus,Sweetwilliam,Caryophyllaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3085421
AK,Dianthus deltoides,Maiden pink,Caryophyllaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3085424
AK,Digitalis purpurea,Purple foxglove,Plantaginaceae,Lamiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5414995
AK,Dysphania aristata,Wormseed,Amaranthaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5568439
AK,Echinochloa crus-galli,Barnyardgrass,Poaceae,Poales,invasive (category D2),introduced: assisted colonization,agriculture (including biofuel feedstocks),Artificial - Terrestrial; Introduced Vegetation,FALSE,2017-09-07,2702808
AK,Echium vulgare,Common viper's bugloss,Boraginaceae,Boraginales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2925892
AK,Elodea canadensis,Canadian waterweed,Hydrocharitaceae,Alismatales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2865448
AK,Elodea nuttallii,Nutall waterweed,Hydrocharitaceae,Alismatales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5329212
AK,Elymus repens,Quackgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",seed contaminant,,FALSE,2017-11-21,5290299
AK,Elymus sibiricus,Siberian wildrye,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5290323
AK,Erodium cicutarium,Redstem stork's bill,Geraniaceae,Geraniales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9485490
AK,Erucastrum gallicum,Common dogmustard,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5375547
AK,Erysimum capitatum,Western wallflower,Brassicaceae,Brassicales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3048540
AK,Erysimum cheiranthoides,Wormseed wallflower,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3048266
AK,Erysimum cheiri,Aegean wallflower,Brassicaceae,Brassicales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3048203
AK,Eschscholzia californica,California poppy,Papaveraceae,Ranunculales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,2888380
AK,Euphorbia cyparissias,Cypress spurge,Euphorbiaceae,Malpighiales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3070106
AK,Euphorbia esula,Leafy spurge,Euphorbiaceae,Malpighiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,8203538
AK,Euphorbia peplus,Petty spurge,Euphorbiaceae,Malpighiales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3066386
AK,Euphrasia nemorosa,Common eyebright,Orobanchaceae,Lamiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3171964
AK,Fagopyrum esculentum,Buckwheat,Polygonaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2889373
AK,Fallopia convolvulus,Black bindweed,Polygonaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,6391461
AK,Fallopia japonica,Japanese knotweed,Polygonaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-10-24,
AK,Fallopia sachalinensis,Giant knotweed,Polygonaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,
AK,Fallopia X bohemica,Bohemian knotweed,Polygonaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,TRUE,2017-09-07,
AK,Festuca rubra,Red fescue,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2704922
AK,Fragaria chiloensis ssp. pacifica,Pacific beach strawberry,Rosaceae,Rosales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3030035
AK,Gaillardia pulchella,Firewheel,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5387821
AK,Galeopsis bifida,Splitlip hempnettle,Lamiaceae,Lamiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5341303
AK,Galeopsis tetrahit,Brittlestem hempnettle,Lamiaceae,Lamiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5341300
AK,Geranium bicknellii,Bicknell's cranesbill,Geraniaceae,Geraniales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2890075
AK,Geranium carolinianum,Carolina crane's-bill,Geraniaceae,Geraniales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,2890623
AK,Geranium pusillum,Small geranium,Geraniaceae,Geraniales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2890212
AK,Geranium robertianum,Robert geranium,Geraniaceae,Geraniales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2890668
AK,Geranium sanguineum,Bloody geranium,Geraniaceae,Geraniales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2890920
AK,Gilia achilleifolia,California gily-flower,Polemoniaceae,Ericales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5341540
AK,Gilia capitata,Bluehead gilia,Polemoniaceae,Ericales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5341548
AK,Glebionis segetum,Corndaisy,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3141101
AK,Glechoma hederacea,Ground ivy,Lamiaceae,Lamiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,2926557
AK,Glyceria maxima,Reed mannagrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)","agriculture (including biofuel feedstocks); organic packing material, in particular wood packaging",Artificial - Terrestrial; Introduced Vegetation; Wetlands (inland),FALSE,2018-02-13,2705484
AK,Gnaphalium palustre,Western marsh cudweed,Asteraceae,Asterales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,5390744
AK,Gnaphalium uliginosum,Marsh cudweed,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,5390848
AK,Gypsophila elegans,Showy baby's-breath,Caryophyllaceae,Caryophyllales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,5384466
AK,Gypsophila paniculata,Bachelor's button,Caryophyllaceae,Caryophyllales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,5384458
AK,Hackelia micrantha,Meadow stickseed,Boraginaceae,Boraginales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2019-04-30,2925926
AK,Hedera helix,English ivy,Araliaceae,Apiales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-09-07,8351737
AK,Helianthus annuus,Common sunflower,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,9206251
AK,Hesperis matronalis,Dames rocket,Brassicaceae,Brassicales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,3042291
AK,Hieracium aurantiacum,Orange hawkweed,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",horticulture,,FALSE,2017-11-21,
